Time (m),Photodiode voltage (V), Photodiode stdev (V), Temp. Setpoint (C), Temp. (C), Thermometer voltage (V), Thermometer stdev (V), Output, Output stdev (V),  Temp. Loop Index
1.0,1.4264645470306276,0.0018228626323971082,30.0,29.530076045024735,0.6252895158716393,0.010186308784871964,51.288839046984585,7.811783549126813,0
2.0,1.4156396279111505,0.0006441323036716733,30.0,30.11954789868192,0.7071857966825252,0.02803062327061246,3.9265981341812406,14.923827443458247,0
3.0,1.4110943580046296,0.0011284208036374296,30.0,30.347119322924218,0.7388026637961155,0.009174608457301517,-13.938314651655457,3.585079301453764,0
4.0,1.413486605323851,0.0016443981632081543,30.0,30.01957503792423,0.6932964049714825,0.0133723347416807,4.293855860159131,6.453205822552375,0
5.0,1.413486605323851,0.0013585353266345288,30.0,29.841654305739915,0.6685775890438959,0.0024337858491284285,17.133470309930967,2.4590902928286087,0
6.0,1.4166563330218196,0.001421576740920574,30.0,29.956223240595293,0.6844948370056227,0.004267512818880917,12.895582712146677,3.6082432122198758,0
7.0,1.4128885434940457,0.0012771105912770023,30.0,29.875847267541634,0.6733280726914117,0.004552083508049805,27.711329008276937,3.9268996540574195,0
8.0,1.407685405574739,0.0021438660608049786,30.0,30.08638076486808,0.7025778329813608,0.013338721364689847,4.185346347130408,7.197149671958237,0
9.0,1.4139650547876954,0.0014649463176584028,30.0,30.153906999874664,0.7119593623451314,0.006368530047921062,-0.6387923560903149,3.1688000497630573,0
10.0,1.411812032200396,0.000717674195766449,30.0,29.967328023146123,0.6860376424584772,0.005875232235257334,10.978513293622461,2.8033646901610205,0
11.0,1.4119914507493376,0.0014661665980179794,30.0,29.95751420024458,0.684674192123764,0.0038477578067066752,9.94958824338135,2.609979284986472,0
12.0,1.4069677313789726,0.0011976178808799202,30.0,30.02236352946397,0.6936838146243104,0.0007178299433859252,6.318287846786274,1.9957866578069434,0
13.0,1.414144473336637,0.0011043920577590276,30.0,29.946539439825862,0.6831494508566325,0.008334122588101343,17.830908753809968,7.8395452961894225,0
14.0,1.410914939455688,0.0008646079575418088,30.0,29.835268437377234,0.6676903899937512,0.006686851084335599,28.409918264027908,6.014164751497174,0
15.0,1.4081638550385833,0.001391056333072649,30.0,30.141474580584525,0.7102321061665251,0.011721624176697662,0.5185746560025799,6.3855153433945135,0
16.0,1.4058912200853229,0.0009361148343349085,30.0,30.147740492904415,0.7111026395290637,0.008360584045368158,-0.514448114542436,4.237213205769686,0
17.0,1.4090609477832914,0.0026985779789030187,30.0,29.948682685256852,0.6834472154209184,0.004933158015704532,11.482118444541426,2.3325480157395537,0
18.0,1.4090609477832914,0.002297678518746138,30.0,29.956869084581918,0.6845845651583079,0.0035766302079710175,9.916462805141473,2.2182702343719582,0
19.0,1.4100776528939605,0.0011425955215149655,30.0,30.02531424701228,0.6940937625996562,0.0011591936752259244,6.291349358175759,2.28153407415001,0
20.0,1.41223067548126,0.0026402922735457275,30.0,29.890268592806887,0.6753316508033453,0.009921107468311941,24.891003945162836,7.803149838649859,0
21.0,1.4090011416003108,0.0015834526975611767,30.0,29.893042452644444,0.6757170276500548,0.014680902109407014,21.65500946006283,11.344666653876935,0
22.0,1.408343273587525,0.0011410292486449918,30.0,30.20474327442182,0.7190221284294888,0.004531949994329304,-3.7983211439848517,2.487677592713153,0
23.0,1.4147425351664424,0.0016280029564843636,30.0,30.081482650374955,0.7018973299895996,0.009384600072011699,3.401405783719135,4.270284221522913,0
24.0,1.4108551332727075,0.0010631379633771344,30.0,29.921474507826492,0.6796671391961335,0.002821021565347131,13.5908457921596,2.074571142073596,0
25.0,1.4112139703705906,0.0014203181512617725,30.0,29.973472598868856,0.6868913183307529,0.005206831910570452,9.159637698199855,3.4811606236402364,0
26.0,1.415699434094131,0.0013492889894515094,30.0,30.039463445444984,0.6960595336893263,0.002507932660063156,6.4507270649439565,3.703949945592819,0
27.0,1.4162974959239363,0.0016147669404745102,30.0,29.8545692940042,0.6703718893128551,0.009647818438818583,28.7744468793278,7.301151030328178,0
28.0,1.4081638550385833,0.002566096471548469,30.0,29.95058503482139,0.6837115119317208,0.01788222189368392,15.30840245115446,11.90586595134329,0
29.0,1.4111541641876102,0.0011673701204627778,30.0,30.222229733221933,0.7214515505153734,0.003306656016971989,-5.690955375001341,2.142905513677708,0
30.0,1.4177328443154693,0.0017951819824057037,30.0,30.033084121127406,0.6951732438139834,0.010254449776351109,6.5864430775042715,4.742521698470881,0
31.0,1.4174338134005666,0.0018491623032342662,30.0,29.91682579829808,0.6790212864406799,0.001656343423505126,12.855641617135177,1.8405478514786253,0
32.0,1.423713462613523,0.001136317476630211,30.0,29.992774982802032,0.689573029840986,0.0032785030891127657,8.249164526562975,2.1907538529792787,0
33.0,1.4210221843793989,0.0009935749333923537,30.0,30.03408370771181,0.6953121179995843,0.001374148679895768,5.952449070875816,2.3868763500607764,0
34.0,1.423833074979484,0.0011734820476854712,30.0,29.882016247552183,0.6741851390909798,0.009884064280423373,25.550691482167753,8.29355080541301,0
35.0,1.4239526873454451,0.000601044700328398,30.0,29.869321539238165,0.6724214426728268,0.014393891170786835,24.5117050384099,11.073221317064146,0
36.0,1.4161778835579752,0.0012559298425912858,30.0,30.22257174654285,0.7214990669808283,0.007139096811451225,-5.57176742319605,3.784490154561214,0
37.0,1.4235340440645814,0.0006551439099344379,30.0,30.114584947050847,0.706496285762017,0.01098648318677312,0.6187810019669081,5.1204702588289415,0
