Time (m),Photodiode voltage (V), Photodiode stdev (V), Temp. Setpoint (C), Temp. (C), Thermometer voltage (V), Thermometer stdev (V), Output, Output stdev (V),  Temp. Loop Index
1.0,1.0345024392008781,0.000805732804657635,30.0,28.277295422951255,0.33155697959677,0.10675771256561023,99.42978273654505,2.5885373716822087,0
2.0,0.9961267974227667,0.0009476641832915731,30.0,30.530963660868135,0.698435603010694,0.09417462248234472,-21.674610543943594,55.31240387514505,0
3.0,1.1165386311709882,0.001995443015642294,30.0,31.225751380257947,0.8115413200661229,0.027870912769522308,-99.10629731338435,2.216246429612362,0
4.0,1.1465064641088247,0.0011154865570508364,30.0,30.237108861215525,0.6505984624030886,0.05551874277560449,-48.37500666902121,26.648735632949784,0
5.0,1.139780217036605,0.00038454460406332725,30.0,29.404137132080564,0.5149975269210214,0.01754054491120691,28.3056903105901,12.868359039356573,0
6.0,1.1385190457105636,0.0006468205181680326,30.0,29.675626183215947,0.5591937079190588,0.0326789550540345,15.007800738170056,13.596930355316585,0
7.0,1.1408612210303546,0.0007807251065969468,30.0,30.006145350989186,0.612999505615638,0.010395974160394294,12.327822661949678,12.335692194299844,0
8.0,1.13809865526855,0.0007231673239326792,30.0,29.878290061597905,0.5921857177746115,0.009700506443985306,23.621838078135116,10.358953502495904,0
9.0,1.1340749181807042,0.0007500964196918937,30.0,30.194682163000667,0.64369174544485,0.010693870535075874,-11.91061107372067,5.441325389117731,0
10.0,1.1269282806664704,0.0011536338121899818,30.0,30.140811760209317,0.634922087654796,0.011151374981649519,-9.538063564032623,5.7447400938618385,0
11.0,1.1311321850866078,0.0019451027033353249,30.0,29.920175354019392,0.5990042983297906,0.006589195852345441,7.725316962345306,3.85436746811487,0
12.0,1.1283095635473728,0.0009608924388885498,30.0,29.926556733698455,0.600043134371736,0.00669576438373788,6.899184664754103,4.364054848536155,0
13.0,1.1387592688202859,0.00048044621944427486,30.0,29.9893166589033,0.6102599331788211,0.009918685717825827,10.285967155774129,12.03992035879151,0
14.0,1.1308919619768858,0.0012950342957989314,30.0,29.79157884566524,0.57806984614777,0.006384494448727664,34.046514994152,6.622737724033507,0
15.0,1.1337145835161209,0.003048089554717254,30.0,30.162137597092975,0.6383937582172116,0.02118575162158429,-9.21823461251034,11.547611267131577,0
16.0,1.1376182090491056,0.0009323163803513254,30.0,30.221324841214035,0.6480289539756028,0.011956247691035087,-15.030137496607068,5.486817610274657,0
17.0,1.1275888942182064,0.0006005577743053436,30.0,29.932835516811984,0.6010652685380032,0.011162259805513192,7.0905983492559015,5.776210495823054,0
18.0,1.1408612210303546,0.0007807251065969468,30.0,29.89869440189789,0.5955073762844937,0.007039232302984394,8.864656005241482,4.241151065440847,0
19.0,1.143503675237298,0.0009008366614580154,30.0,30.031385261287554,0.6171083550858311,0.003335880349267114,1.2032784021828877,5.214737169111994,0
20.0,1.1540734920650721,0.0014071518486394594,30.0,29.81464586169058,0.5818249663306176,0.014095479283230109,34.55631036037467,8.819407512847686,0
21.0,1.1456056274473667,0.002519481230115269,30.0,29.967598657757172,0.6067244215051247,0.024940604704381458,11.402474975341807,16.266036047012037,0
22.0,1.145065125450492,0.0014575130123744638,30.0,30.274353808702397,0.6566616330300741,0.0042301590832702265,-17.276169633961306,2.375384873580723,0
23.0,1.151370982080698,0.0006124511620445598,30.0,30.054436547330063,0.6208609145570575,0.014927300008827957,-1.4728091164155892,7.51455030897732,0
24.0,1.1441042330116034,0.0006153885945421133,30.0,29.868990250739774,0.5906717851787495,0.002592684354460144,13.062176384586111,2.213778189931112,0
25.0,1.142722950130701,0.001337505669439123,30.0,29.987327130488744,0.6099360543426663,0.0077308587415321536,3.1953774734533646,4.291025235911746,0
26.0,1.1263877786695957,0.0005371552031050899,30.0,29.907774281790886,0.5969855059310231,0.015320462217647365,24.69637473062932,11.994224545790745,0
27.0,1.148908695206046,0.001147364016786672,30.0,29.875839668442126,0.5917868139551896,0.017968875016900202,22.69907870249129,14.465855242185537,0
28.0,1.125066551566124,0.001629272399708044,30.0,30.245600518004693,0.6519808341740969,0.007913874307094478,-14.314355930097717,3.899982271173147,0
29.0,1.1351559221744538,0.0018255375855276586,30.0,30.10354860469672,0.6288559529112202,0.014451717474814805,-3.69741635517147,7.253717614011414,0
30.0,1.136417093500495,0.0014722854811735102,30.0,29.88720042379321,0.5936362513364434,0.0036375892503642034,12.654120286675065,2.4147980571234227,0
31.0,1.157436615601182,0.0007620223886793136,30.0,29.967882845492554,0.6067706849273067,0.008313943234801549,5.017479658340109,4.875793484828693,0
32.0,1.138338878378272,0.0004988607539105735,30.0,30.047140639398485,0.619673200849486,0.002637413967256607,1.3142502267361593,3.4150688017205186,0
33.0,1.139780217036605,0.0010759877068509045,30.0,29.885147327988758,0.593302024252882,0.014714392680599831,24.768624703406555,13.020354174128896,0
34.0,1.1396000497043133,0.0006578780801442663,30.0,29.82285284165695,0.5831609950600416,0.017359416039985493,29.300543751964675,14.41602441282731,0
35.0,1.1507704243063928,0.0010471082591818803,30.0,30.263547324472658,0.6549024264212895,0.012727238485863133,-16.063532626363056,6.4433008838349926,0
36.0,1.140681053698063,0.0005884240432438536,30.0,30.17015380967801,0.639698731588496,0.01495791018556012,-10.869866973734899,6.913721543102298,0
37.0,1.161580464243889,0.0010810039937496185,30.0,29.881212745508492,0.5926615066381848,0.008627202974198743,12.30596280163495,4.767418741965872,0
38.0,1.164643308892846,0.0012322415289109743,30.0,29.92475719944132,0.5997501850192377,0.009931663212957532,7.3372300205778,5.5097619587372595,0
39.0,1.166324870660901,0.0012668780127698628,30.0,30.059217856573344,0.621639272313438,0.0022329834133419588,-0.8403800387663047,3.1338497278966844,0
40.0,1.1402606632560492,0.0009849879858908948,30.0,29.825155218329353,0.5835358030153299,0.01696277663538779,33.69248269958511,11.250125904865198,0
41.0,1.1561153884977102,0.0012950342957989314,30.0,29.91179392355941,0.59763987049713,0.025723273982820656,17.41592365678408,18.144335151201147,0
42.0,1.1608597949147224,0.0008577680724813204,30.0,30.300287845832635,0.6608834806302788,0.005455467778674929,-19.53557845532972,3.037532345227091,0
43.0,1.1657843686640263,0.0010810039937496185,30.0,30.087241419533413,0.6262012775052254,0.016150133645664318,-4.5470307036505115,7.805787871894979,0
