Time (m),Photodiode voltage (V), Photodiode stdev (V), Temp. Setpoint (C), Temp. (C), Thermometer voltage (V), Thermometer stdev (V), Output, Output stdev (V),  Temp. Loop Index
  1.0,2.184090130776167,0.010664932149725826,30.0,30.241631913672315,0.6513347780821479,0.006812497649657934,-33.265882760663054,6.225832872363653,0
2.0,2.1602479871362448,0.016379380694068617,30.0,29.906041757167444,0.5967034651948645,0.02252394512785764,4.679708043417324,13.752069886814935,0
3.0,2.1982032384723427,0.0050321581298643295,30.0,29.73114216020448,0.5682312516321739,0.010731259178322414,21.447179989521878,6.772926414562118,0
4.0,2.156824807822704,0.004053653760632804,30.0,30.056789565510705,0.6212439665327019,0.012308693936239847,-4.024064713619072,4.605905161695546,0
5.0,2.15069911852479,0.002282119542360306,30.0,30.06253949607449,0.6221800078605584,0.007907620854130505,0.24909200672407,4.9577117248507045,0
6.0,2.128778759762645,0.013616778450530042,30.0,29.815504256681898,0.5819647059637462,0.01357169964810599,31.138322683743066,10.251286821115812,0
7.0,2.107699181884527,0.0046441408773485295,30.0,29.872959954354343,0.5913180202247829,0.021200639619573997,22.816698870120526,15.608068707172256,0
8.0,2.118569277599454,0.0025115955105216494,30.0,30.25987239617149,0.6543041783679191,0.006750262883698767,-13.687390702924638,3.18738858939298,0
9.0,2.0654799703508617,0.0040021667537437884,30.0,30.083718783737016,0.6256278214170456,0.014841133883046547,-0.1822266593573966,7.669812605084658,0
10.0,2.0861391577869655,0.005334156720755195,30.0,29.879520391264652,0.5923860053089024,0.003071120362978255,14.981589875034306,2.5366257652371456,0
11.0,2.044220225140452,0.0030979701625117742,30.0,30.003711121007946,0.6126032330278789,0.008220619464432925,2.8606744296275073,4.858120402236676,0
12.0,2.0992913730442524,0.005582280619967972,30.0,30.049778422903454,0.6201026102740346,0.004141428427153465,1.7313044969155482,3.5519105461456237,0
13.0,2.076770456507802,0.0036751976856263286,30.0,29.924528339137396,0.5997129284471103,0.008498435078056619,17.394627953578365,8.876346397095327,0
14.0,2.0920246239751576,0.005831598441411075,30.0,29.819137207309012,0.5825561203975934,0.006936276384555685,31.134370864718882,6.177343772775334,0
15.0,2.062957627698779,0.0010826709245682232,30.0,30.13715898523902,0.6343274459811916,0.015662086411544394,-2.8909245023179437,8.467668426947423,0
16.0,2.0961684726178644,0.00702318873479132,30.0,30.150041463880132,0.6364246073781061,0.011195883177826202,-3.338807496918422,5.667759760890909,0
17.0,2.0747886158525946,0.006187785469129881,30.0,29.937025062890154,0.601747292126049,0.005472270758913315,11.820217587363974,2.4434116061686004,0
18.0,2.066621030122042,0.003269594491348637,30.0,29.97779365695408,0.6083840833879781,0.006232785968785488,5.655343877926621,4.158999576384642,0
19.0,2.0502858586609363,0.002993164523463441,30.0,30.03576456862438,0.6178212702435328,0.0021969474915354194,3.1259726794169103,2.8378606166510645,0
20.0,2.0845777075737715,0.0021359941361165156,30.0,29.970997717466965,0.6072777604244254,0.0032502777991073864,10.441353897536535,4.451210369957476,0
21.0,2.122412847355008,0.010006993835480763,30.0,29.821374460827748,0.582920326839949,0.006456298544581613,33.26909438134125,4.301935898132099,0
22.0,2.0945469666272403,0.0047016425058350264,30.0,30.03434404916524,0.6175900213778244,0.020296333571437977,7.160776990287569,12.777457603747573,0
23.0,2.09004278331995,0.004231269424585146,30.0,30.191397475218142,0.643157025333113,0.00766854607228862,-5.337136596080175,4.422686522780762,0
24.0,2.107218735665083,0.005008810255717279,30.0,29.970645253128588,0.6072203821337386,0.008672333921554727,11.104316556664944,3.8323685681546453,0
25.0,2.1147257078439,0.006160036757496682,30.0,29.963023347474692,0.6059795986825431,0.0057303233717328214,7.862296478064651,3.807736513004898,0
26.0,2.08103441670537,0.005952494053837306,30.0,30.04655753540959,0.6195782763237049,0.0012558919774258166,1.6156187923299556,3.2479828949686107,0
27.0,2.0846978191286327,0.0020985176453395763,30.0,29.99012195763336,0.6103910291780238,0.0028849599567076865,7.336945515688648,2.4841136096122107,0
28.0,2.073587500303984,0.0024732482890168655,30.0,29.906211498447956,0.5967310976770029,0.00875477164044765,21.50095747113532,9.246547353589502,0
29.0,2.1198304489254953,0.005752829407514466,30.0,29.85635829198806,0.5886154063560465,0.00941078372471052,28.24769755786504,7.6608627799868705,0
30.0,2.078572129830718,0.0022829096131966324,30.0,30.17150481351271,0.6399186638832149,0.01201131453032099,-5.162489520924654,6.141215870009829,0
31.0,2.0730469983071087,0.004322764631903251,30.0,30.11541237480816,0.6307872769516245,0.012463989348786,0.3485258735907926,6.341550486986063,0
32.0,2.0741280023008586,0.001830470146762324,30.0,29.92455092565997,0.599716605346918,0.0031993652748243265,13.001865776590705,2.4310980835462948,0
33.0,2.0931656837463377,0.00437872105496682,30.0,29.996294496986643,0.6113958677353591,0.005258105921015699,5.310869665033005,3.115481979989455,0
34.0,2.092144735530019,0.005027855913520816,30.0,30.038873618129575,0.6183273978906288,0.0023216227020346103,3.1458338468129665,3.9992786742751907,0
35.0,2.092505070194602,0.002311172293994087,30.0,29.95170789559207,0.604137536332745,0.006510225782642902,14.616166019027144,7.609748563320576,0
36.0,2.0990511499345303,0.006623583248022738,30.0,29.797033111242325,0.5789577556514801,0.0048731541124160385,36.08437582451491,4.37031208784614,0
37.0,2.1033751659095286,0.004899609296356478,30.0,30.105254113063005,0.6291335956232735,0.02052070844021482,0.7135257594988021,11.668961814548268,0
38.0,2.0896223928779363,0.004497772795865306,30.0,30.19930622831136,0.6444445051843809,0.010078287161455054,-7.053759206128936,4.958137938499638,0
